余五	餘五
余人	餘人
余众	餘眾
余余	余余
余俗	餘俗
余倍	餘倍
余僇	餘僇
余光	餘光
余党	餘黨
余八	餘八
余六	餘六
余兴	餘興
余刃	餘刃
余切	餘切
余利	餘利
余割	餘割
余力	餘力
余勇	餘勇
余十	餘十
余味	餘味
余响	餘響
余喘	餘喘
余四	餘四
余地	餘地
余墨	餘墨
余声	餘聲
余外	餘外
余妙	餘妙
余姓	余姓
余姚	餘姚
余威	餘威
余子	餘子
余存	餘存
余孽	餘孽
余庆	餘慶
余弦	餘弦
余思	餘思
余悸	餘悸
余数	餘數
余明	餘明
余映	餘映
余晖	餘暉
余暇	餘暇
余月	余月
余杭	餘杭
余杯	餘杯
余桃	餘桃
余桶	餘桶
余款	餘款
余步	餘步
余殃	餘殃
余毒	餘毒
余气	餘氣
余沥	餘瀝
余波	餘波
余波荡漾	餘波盪漾
余泽	餘澤
余温	餘溫
余烈	餘烈
余烬	餘燼
余热	餘熱
余珍	餘珍
余生	餘生
余窍	餘竅
余粮	餘糧
余绪	餘緒
余缺	餘缺
余罪	餘罪
余羡	餘羨
余膏	餘膏
余荫	餘蔭
余蓄	餘蓄
余裕	餘裕
余角	餘角
余论	餘論
余貾	餘貾
余责	餘責
余车	余車
余辉	餘輝
余辜	餘辜
余酲	餘酲
余闰	餘閏
余闲	餘閒
余零	餘零
余震	餘震
余霞	餘霞
余音	餘音
余音绕梁	餘音繞梁
余韵	餘韻
余额	餘額
余风	餘風
余食	餘食
佚游	佚遊
佚荡	佚蕩
佛曲	佛曲
佛罗棱萨	佛羅棱薩
佛钟	佛鐘
作了	作了
作价	作價
作准	作準
作出	作出
作别	作別
作品里	作品裏
作奸犯科	作姦犯科
作幸	作倖
作庄	作莊
作恶	作惡
作曲	作曲
佞幸	佞幸
你克制	你剋制
你才子发昏	你纔子發昏
你搜	你搜
佣中佼佼	傭中佼佼
佣书	傭書
佣人	傭人
佣仆	傭僕
佣作	傭作
佣保	傭保
佣兵	傭兵
佣工	傭工
佣懒	傭懶
佣给	傭給
佣耕	傭耕
佣金	佣金
佣钱	佣錢
佣钿	佣鈿
佥	僉
佥同	僉同
佩挂	佩掛
佳冬	佳冬
佳肴	佳肴
佳致	佳致
佳里	佳里
使其斗	使其鬭
使出	使出
使团	使團
侍仆	侍僕
侍御	侍御
供出	供出
供制	供製
依依不舍	依依不捨
依托	依託
依据	依據
依赞	依贊
侠	俠
侣	侶
侥	僥
侥幸	僥倖
侦	偵
侧	側
侧向	側向
侧录	側錄
侧面	側面
侨	僑
侨团	僑團
侨汇	僑匯
侩	儈
侪	儕
侬	儂
侮蔑	侮蔑
侵占	侵佔
侵哄	侵哄
侵并	侵併
便了	便了
